0;-859265;-859265;0;0%;0%
1;-859369;-859369;0;0%;0%
2;-859533;-859533;0;0%;0%
3;-859774;-859774;0;0%;0%
4;-860119;-860119;0;0%;0%
5;-860633;-860633;0;0%;0%
6;-861475;-861475;0;0%;0%
7;-863275;-863275;0;0%;0%
8;-879608;-879608;0;0%;0%
9;-866736;-866736;0;0%;0%
10;-865563;-865563;0;0%;0%
11;-862932;-862932;0;0%;0%
12;-863150;-863150;0;0%;0%
13;-865892;-865892;0;0%;0%
14;-868709;-868709;0;0%;0%
15;-865787;-865787;1.16415e-10;1.34462e-14%;1.34462e-14%
16;-875040;-875040;0;0%;1.34462e-14%
17;-865108;-865108;0;0%;1.34462e-14%
18;-865125;-865125;0;0%;1.34462e-14%
19;-874319;-874319;0;0%;1.34462e-14%
20;-864888;-864888;0;0%;1.34462e-14%
21;-864183;-864183;0;0%;1.34462e-14%
22;-864502;-864502;0;0%;1.34462e-14%
23;-865353;-865353;0;0%;1.34462e-14%
24;-867181;-867181;0;0%;1.34462e-14%
25;-883183;-883183;0;0%;1.34462e-14%
26;-870009;-870009;0;0%;1.34462e-14%
27;-891408;-891408;0;0%;1.34462e-14%
28;-871575;-871575;0;0%;1.34462e-14%
29;-873656;-873656;0;0%;1.34462e-14%
30;-874664;-874664;0;0%;1.34462e-14%
31;-874325;-874325;0;0%;1.34462e-14%
32;-885897;-885897;0;0%;1.34462e-14%
33;-892476;-892476;0;0%;1.34462e-14%
34;-882244;-882244;0;0%;1.34462e-14%
35;-885164;-885164;0;0%;1.34462e-14%
36;-896012;-896012;0;0%;1.34462e-14%
37;-897759;-897759;0;0%;1.34462e-14%
38;-889372;-889372;0;0%;1.34462e-14%
39;-911283;-911283;0;0%;1.34462e-14%
40;-925976;-925976;0;0%;1.34462e-14%
41;-907178;-907178;0;0%;1.34462e-14%
42;-911942;-911942;0;0%;1.34462e-14%
43;-891722;-891722;0;0%;1.34462e-14%
44;-886081;-886081;0;0%;1.34462e-14%
45;-887087;-887087;0;0%;1.34462e-14%
46;-896209;-896209;1.16415e-10;1.29897e-14%;1.34462e-14%
47;-909236;-909236;1.16415e-10;1.28036e-14%;1.34462e-14%
48;-898319;-898319;0;0%;1.34462e-14%
49;-902069;-902069;0;0%;1.34462e-14%
50;-1.04294e+06;-1.04294e+06;0;0%;1.34462e-14%
51;-914601;-914601;2.32831e-10;2.54571e-14%;2.54571e-14%
52;-914576;-914576;2.79397e-09;3.05493e-13%;3.05493e-13%
53;-918670;-918670;6.14673e-08;6.6909e-12%;6.6909e-12%
54;-902776;-902776;9.42964e-09;1.04452e-12%;6.6909e-12%
55;-894711;-894711;6.98492e-10;7.8069e-14%;6.6909e-12%
56;-903770;-903770;9.31323e-10;1.03049e-13%;6.6909e-12%
57;-903505;-903505;3.49246e-10;3.86546e-14%;6.6909e-12%
58;-903249;-903249;1.16415e-09;1.28885e-13%;6.6909e-12%
59;-901682;-901682;4.65661e-10;5.16436e-14%;6.6909e-12%
60;-914149;-914149;4.77303e-09;5.22128e-13%;6.6909e-12%
61;-907147;-907147;3.60887e-09;3.97827e-13%;6.6909e-12%
62;-915242;-915242;3.49246e-09;3.81589e-13%;6.6909e-12%
63;-903134;-903134;3.95812e-09;4.38265e-13%;6.6909e-12%
64;-903483;-903483;3.84171e-09;4.25211e-13%;6.6909e-12%
65;-907817;-907817;3.72529e-09;4.10357e-13%;6.6909e-12%
66;-908424;-908424;4.19095e-09;4.61343e-13%;6.6909e-12%
67;-950778;-950778;1.97906e-09;2.08152e-13%;6.6909e-12%
68;-922058;-922058;5.23869e-09;5.68152e-13%;6.6909e-12%
69;-934476;-934476;5.47152e-09;5.85517e-13%;6.6909e-12%
70;-910164;-910164;6.0536e-09;6.65111e-13%;6.6909e-12%
71;-919047;-919047;6.51926e-09;7.0935e-13%;6.6909e-12%
72;-932012;-932012;8.03266e-09;8.61862e-13%;6.6909e-12%
73;-912162;-912162;1.0361e-08;1.13587e-12%;6.6909e-12%
74;-912893;-912893;1.15251e-08;1.26248e-12%;6.6909e-12%
75;-913602;-913602;1.40863e-08;1.54184e-12%;6.6909e-12%
76;-918878;-918878;1.9907e-08;2.16645e-12%;6.6909e-12%
77;-933155;-933155;3.00352e-08;3.21867e-12%;6.6909e-12%
78;-941136;-941136;2.09897e-07;2.23025e-11%;2.23025e-11%
79;-935770;-935770;5.27361e-08;5.63558e-12%;2.23025e-11%
80;-926587;-926587;1.30851e-07;1.41218e-11%;2.23025e-11%
81;-915235;-915235;4.37954e-07;4.78516e-11%;4.78516e-11%
82;-925528;-925528;4.34124e-06;4.69056e-10%;4.69056e-10%
83;-920972;-920972;3.77651e-07;4.10057e-11%;4.69056e-10%
84;-916714;-916714;1.27708e-07;1.3931e-11%;4.69056e-10%
85;-915721;-915721;7.78819e-08;8.50497e-12%;4.69056e-10%
